npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 23 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 22 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 25 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 30 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 26 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/11kjahy2ntf0n.js
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0loz6vpbrx5_j.js
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0n~dq4kpx9xxx.js
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/turbopack-17dice02pll~k.js
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0o~269zocnb95.js
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 29 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 12 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 18 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/13j1vlfsw7v9t.js
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 29 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 51 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/13r-y0e_aomfl.js
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 47 ms
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 32 ms
 HTTP  4/30/2026 4:30:36 PM ::1 GET /_next/static/chunks/0p8mjcq7re3sl.js
 HTTP  4/30/2026 4:30:36 PM ::1 Returned 200 in 13 ms
 HTTP  4/30/2026 6:02:15 PM ::1 GET /
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 95 ms
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/media/2f13ad8e538108e0-s.p.0o52u8sd-fo14.woff2
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0_40nje2nbxru.css
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0u-57nno0ibv9.css
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/media/80bb744e92754df7-s.p.0rwiflhz8oijx.woff2
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/media/bec5c09c262b1b7f-s.p.0~fa_av65fnnq.woff2
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 31 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 28 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 27 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 26 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 33 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 26 ms
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/11kjahy2ntf0n.js
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0loz6vpbrx5_j.js
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0n~dq4kpx9xxx.js
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/turbopack-17dice02pll~k.js
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0o~269zocnb95.js
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/13j1vlfsw7v9t.js
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 79 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 72 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 83 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 86 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 23 ms
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 28 ms
 HTTP  4/30/2026 6:02:15 PM ::1 GET /_next/static/chunks/0bgepdy841ujk.js
 HTTP  4/30/2026 6:02:15 PM ::1 Returned 200 in 179 ms
 HTTP  4/30/2026 6:02:16 PM ::1 GET /_next/static/chunks/0p8mjcq7re3sl.js
 HTTP  4/30/2026 6:02:16 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 15 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/media/2f13ad8e538108e0-s.p.0o52u8sd-fo14.woff2
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/09km76.g.j9ig.css
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/0u-57nno0ibv9.css
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/media/80bb744e92754df7-s.p.0rwiflhz8oijx.woff2
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/media/bec5c09c262b1b7f-s.p.0~fa_av65fnnq.woff2
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 10 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 14 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 17 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/11kjahy2ntf0n.js
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/0mhjdwdbuua9o.js
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/0n~dq4kpx9xxx.js
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/turbopack-0bmwtegqfbs68.js
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 17 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/0o~269zocnb95.js
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 9 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 24 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/13j1vlfsw7v9t.js
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 16 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 11 ms
 HTTP  4/30/2026 6:20:14 PM ::1 GET /_next/static/chunks/0ci89u.nqjo3q.js
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 10 ms
 HTTP  4/30/2026 6:20:14 PM ::1 Returned 200 in 33 ms
 HTTP  4/30/2026 6:20:15 PM ::1 GET /_next/static/chunks/0p8mjcq7re3sl.js
 HTTP  4/30/2026 6:20:15 PM ::1 Returned 200 in 14 ms
